nom;marque;url;prix;devise;disponibilite;poids_kg;prix_par_kg;proteines_100g;score_prix;score_nutrition;score_global;date_recuperation
Whey Hydrolysée;;https://www.fitnessboutique.fr/collections/whey-proteine-hydrolysee;;EUR;;;;100.0;;100.0;100.0;2026-02-06 13:26
Clear Whey;Nutrimea;https://www.nutrimea.com/fr/complements-alimentaires/1968-clear-whey.html;36.71;EUR;InStock;;;83.0;;76.7;76.7;2026-02-06 13:27
Clear Whey Isolate;Bulk;https://www.bulk.com/fr/products/isolat-de-lactoserum-clarifie/bpb-cwhe;44.99;EUR;InStock;;;80.0;;66.7;66.7;2026-02-06 13:27
Clear Whey Isolate - 908g;WOMEN'S BEST;https://fr.womensbest.com/products/clear-whey-2lbs;55.8;EUR;OutOfStock;0.908;61.45;;30.9;;30.9;2026-02-06 13:27
Whey protéine;;https://www.fitnessboutique.fr/collections/whey-proteine;;EUR;;;;;;;;2026-02-06 13:25
Nos Whey Protéine;;https://www.amnutrition.fr/collections/whey-proteines;;EUR;;;;;;;;2026-02-06 13:26
Whey Isolate;;https://www.fitnessboutique.fr/collections/whey-proteine-isolate;;EUR;;;;;;;;2026-02-06 13:26
Whey 1 kg;;https://www.decathlon.fr/vc/whey-1-kg;;EUR;;1.0;;;;;;2026-02-06 13:26
Myprotein Impact Whey Protein 1kg;Myprotein;https://ledenicheur.fr/product.php?p=1502760;;EUR;;1.0;;;;;;2026-02-06 13:26
Isoclear Whey Protein Isolate;ESN;https://fr.esn.com/products/esn-isoclear-whey-isolate;52.9;EUR;OutOfStock;;;;;;;2026-02-06 13:27
Clear whey isolate;BLACK-PROTEIN;https://www.fitnessboutique.fr/products/black-protein-clear-whey-isolate-prod-blaclew600ma;44.9;EUR;InStock;;;;;;;2026-02-06 13:27
Clear Whey Isolate;Nat&Form;https://www.nat-form.com/products/clear-whey;36.9;EUR;InStock;;;20.0;;0.0;0.0;2026-02-06 13:27
"Pure&#x20;Whey&#x20;Protein";;https://www.eafit.com/nos-produits/proteines/whey.html;34.9;EUR;InStock;;;;;;;2026-02-06 13:27
Protéines;;https://www.fitnessboutique.fr/collections/proteine;;EUR;;;;;;;;2026-02-06 13:27
